Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	cont_mole_scaler	mole_proportional_rates[1]	mole_proportional_rates[2]	mole_proportional_rates[3]	mole_relative_rates[1]	mole_relative_rates[2]	mole_relative_rates[3]	morph_mole_scaler	morph_site_rate_alpha	morph_site_rates[1]	morph_site_rates[2]	morph_site_rates[3]	morph_site_rates[4]	prop_rates[1]	prop_rates[2]	prop_rates[3]	prop_rates[4]	prop_rates[5]	prop_rates[6]	prop_rates[7]	prop_rates[8]	rel_rates[1]	rel_rates[2]	rel_rates[3]	rel_rates[4]	rel_rates[5]	rel_rates[6]	rel_rates[7]	rel_rates[8]	Tl
48	-23802.09	-23764.19	-37.89784	1.04413	2.35015	0.573763	24.75886	0.908486	0.0576771	0.0338372	2.72546	0.173031	0.101512	3.917555	1.161247	0.16796	0.520378	1.02231	2.28935	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.454856
49	-23792.03	-23752.79	-39.24079	1.04395	2.35015	0.573763	24.75886	0.908486	0.0576771	0.0338372	2.72546	0.173031	0.101512	3.419074	1.161247	0.16796	0.520378	1.02231	2.28935	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.639018
50	-23770.18	-23732.1	-38.07925	1.01098	2.35015	0.574705	24.75886	0.908486	0.0576771	0.0338372	2.72546	0.173031	0.101512	3.545265	0.8959711	0.115759	0.443084	0.980371	2.46079	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.513448
51	-23733.79	-23701.43	-32.35804	1.01037	2.35015	0.570108	24.75886	0.908486	0.0576771	0.0338372	2.72546	0.173031	0.101512	3.175318	0.8959711	0.115759	0.443084	0.980371	2.46079	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	5.978841
52	-23710.85	-23676.98	-33.86885	0.973201	2.35015	0.570108	24.75886	0.908486	0.0576771	0.0338372	2.72546	0.173031	0.101512	4.071876	0.8959711	0.115759	0.443084	0.980371	2.46079	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	6.043984
53	-23651.51	-23622.89	-28.62439	0.878213	1.57573	0.570108	24.12024	0.908486	0.0576771	0.0338372	2.72546	0.173031	0.101512	3.882799	0.5578963	0.0445574	0.288042	0.858219	2.80918	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	5.689249
54	-23600.33	-23571.53	-28.79874	0.878213	1.48626	0.570108	24.12024	0.908486	0.0576771	0.0338372	2.72546	0.173031	0.101512	4.66189	0.5578963	0.0445574	0.288042	0.858219	2.80918	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	5.637722
55	-23595.99	-23565.49	-30.49908	0.878213	1.49236	0.571345	24.12024	0.908175	0.0576574	0.0341679	2.72452	0.172972	0.102504	5.403143	0.842896	0.104648	0.423847	0.968167	2.50334	0.0506951	0.023048	0.455254	0.016629	0.138429	0.0913966	0.213851	0.0106971	0.405561	0.184384	3.64203	0.133032	1.10743	0.731173	1.71081	0.085577	5.732897
56	-23548.2	-23519.25	-28.95435	0.878213	0.930874	0.571345	24.12024	0.907423	0.0584372	0.0341396	2.72227	0.175311	0.102419	4.399355	0.9685422	0.130635	0.467088	0.994586	2.40769	0.0481116	0.0231107	0.456493	0.0166743	0.138806	0.0916453	0.214433	0.0107262	0.384893	0.184886	3.65195	0.133394	1.11044	0.733163	1.71546	0.0858099	5.734952
57	-23456.38	-23427.88	-28.5065	0.878213	0.930874	0.571345	24.12024	0.907423	0.0584372	0.0341396	2.72227	0.175311	0.102419	2.992338	0.6058063	0.0543078	0.315484	0.884252	2.74596	0.0481116	0.0231107	0.456493	0.0166743	0.138806	0.0916453	0.214433	0.0107262	0.384893	0.184886	3.65195	0.133394	1.11044	0.733163	1.71546	0.0858099	5.830868
